[212]	validate-mlogloss:0.12400	train-mlogloss:0.01374
[213]	validate-mlogloss:0.12436	train-mlogloss:0.01366
[214]	validate-mlogloss:0.12465	train-mlogloss:0.01361
[215]	validate-mlogloss:0.12478	train-mlogloss:0.01360
[216]	validate-mlogloss:0.12457	train-mlogloss:0.01356
[217]	validate-mlogloss:0.12504	train-mlogloss:0.01351
[218]	validate-mlogloss:0.12512	train-mlogloss:0.01342
[219]	validate-mlogloss:0.12515	train-mlogloss:0.01342
[220]	validate-mlogloss:0.12513	train-mlogloss:0.01342
[221]	validate-mlogloss:0.12536	train-mlogloss:0.01339
[222]	validate-mlogloss:0.12556	train-mlogloss:0.01336
[223]	validate-mlogloss:0.12557	train-mlogloss:0.01336
[224]	validate-mlogloss:0.12569	train-mlogloss:0.01330
[225]	validate-mlogloss:0.12583	train-mlogloss:0.01330
[226]	validate-mlogloss:0.12569	train-mlogloss:0.01330
[227]	validate-mlogloss:0.12562	train-mlogloss:0.01330
[228]	validate-mlogloss:0.12572	train-mlogloss:0.01328
[229]	validate-mlogloss:0.12579	train-mlogloss:0.01328
[230]	validate-mlogloss:0.12606	train-mlogloss:0.01324
[231]	validate-mlogloss:0.12605	train-mlogloss:0.01324
[232]	validate-mlogloss:0.12604	train-mlogloss:0.01324
[233]	validate-mlogloss:0.12613	train-mlogloss:0.01320
[234]	validate-mlogloss:0.12630	train-mlogloss:0.01316
[235]	validate-mlogloss:0.12635	train-mlogloss:0.01316
[236]	validate-mlogloss:0.12639	train-mlogloss:0.01316
[237]	validate-mlogloss:0.12651	train-mlogloss:0.01316
[238]	validate-mlogloss:0.12637	train-mlogloss:0.01312
[239]	validate-mlogloss:0.12643	train-mlogloss:0.01312
[240]	validate-mlogloss:0.12673	train-mlogloss:0.01308
[241]	validate-mlogloss:0.12652	train-mlogloss:0.01305
[242]	validate-mlogloss:0.12639	train-mlogloss:0.01305
[243]	validate-mlogloss:0.12660	train-mlogloss:0.01301
[244]	validate-mlogloss:0.12665	train-mlogloss:0.01297
[245]	validate-mlogloss:0.12693	train-mlogloss:0.01294
[246]	validate-mlogloss:0.12696	train-mlogloss:0.01293
[247]	validate-mlogloss:0.12699	train-mlogloss:0.01293
[248]	validate-mlogloss:0.12731	train-mlogloss:0.01289
[249]	validate-mlogloss:0.12749	train-mlogloss:0.01286
[250]	validate-mlogloss:0.12763	train-mlogloss:0.01286
[251]	validate-mlogloss:0.12787	train-mlogloss:0.01283
[252]	validate-mlogloss:0.12777	train-mlogloss:0.01283
[253]	validate-mlogloss:0.12736	train-mlogloss:0.01277
[254]	validate-mlogloss:0.12750	train-mlogloss:0.01273
[255]	validate-mlogloss:0.12742	train-mlogloss:0.01273
[256]	validate-mlogloss:0.12720	train-mlogloss:0.01273
[257]	validate-mlogloss:0.12725	train-mlogloss:0.01273
[258]	validate-mlogloss:0.12724	train-mlogloss:0.01273
[259]	validate-mlogloss:0.12768	train-mlogloss:0.01269
[260]	validate-mlogloss:0.12764	train-mlogloss:0.01269
[261]	validate-mlogloss:0.12794	train-mlogloss:0.01265
